t_us,elapsed_minutes,frequency_status,frequency_available,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_hf,median_frequency_hz,median_frequency_mhz
970680359,8.127305266666667,LIMITED,True,3012.303325571563,1550.9982765145467,1095.7988730728018,270.96464678751084,4.044065844250604,0.038104551917437404,38.104551917437405
991082278,8.46733725,LIMITED,True,1951.9595780357674,797.3412204075602,798.0187906542587,273.1512758507393,2.921526865173157,0.050745202289026674,50.74520228902667
1011253337,8.803521566666667,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1031855619,9.146892933333334,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1052169293,9.485454166666667,LIMITED,True,1834.7628933351225,600.066777608134,848.6373224762634,324.49551853315177,2.6152512870206657,0.06618326362344439,66.18326362344439
1072627154,9.826418516666667,LIMITED,True,2500.7354728006826,862.7975999952059,1223.366513657957,336.0185466655804,3.6407708020816547,0.06551213457789057,65.51213457789056
1093116421,10.1679063,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1113270157,10.5038019,LIMITED,True,3497.9315724716034,1121.8063089744096,1928.2083216897474,342.7369432677441,5.625913282956026,0.0678620453818282,67.86204538182821
1133759761,10.8452953,LIMITED,True,3322.6556635699594,919.2011594229082,1964.3604941952167,329.27535801301156,5.965707564784102,0.07076455843496487,70.76455843496487
1153960447,11.1819734,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1174016487,11.516240733333333,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1194562518,11.858674583333332,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1215341158,12.20498525,LIMITED,True,2857.089707283366,1353.527805586336,1253.6939585978612,183.04595397857713,6.8490667580917295,0.04388299991518955,43.88299991518955
1235726043,12.544733333333333,LIMITED,True,4088.061707327559,2468.662682629443,1374.5134724074253,180.02063187566807,7.63531078680325,0.029036627371994552,29.036627371994552
1255888097,12.880767566666666,LIMITED,True,5730.764765560153,3944.290445129497,1490.7344419575618,200.46068863438325,7.436542556613114,0.01916047925171013,19.16047925171013
1276334445,13.221540033333333,LIMITED,True,7353.3895766308415,5406.79841577598,1551.9190539012598,246.48122526944917,6.2962972218461175,0.017757917807011064,17.757917807011065
1296896631,13.564243133333333,LIMITED,True,8285.009307402026,6199.987946231168,1567.7446765098812,313.36070146342286,5.003003469127978,0.017370764243119795,17.370764243119794
1317340205,13.904969366666666,LIMITED,True,8245.746085955412,6053.048594149939,1581.2938837506656,382.6293719136175,4.132703863904256,0.01782574817413761,17.82574817413761
1337440643,14.239976666666667,LIMITED,True,7263.854636389392,5025.821225023469,1602.1754343666055,421.9079451365707,3.7974526264206396,0.01923229069730236,19.23229069730236
1358020490,14.582974116666668,LIMITED,True,5732.834553628293,3552.424875024203,1590.5338553221416,413.59162708376374,3.845662608155301,0.028497634645629245,28.497634645629244
1378040043,14.916633333333333,LIMITED,True,4308.0459980446685,2288.0202950833805,1519.3892900134206,361.6182544260286,4.201638803950981,0.03687621447942109,36.876214479421094
1398160043,15.251966666666666,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1418221575,15.586325533333333,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1438508176,15.92443555,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1458626045,16.259733366666666,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1479354730,16.60521145,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1499799823,16.945963,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1520028205,17.2831027,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1540156208,17.618569416666666,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1560634443,17.959873333333334,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1580963821,18.2986963,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1601206157,18.636068566666665,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1622076645,18.983910033333334,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1642260108,19.320301083333334,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1662765599,19.662059266666667,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1683414377,20.006205566666665,INVALID,False,nan,nan,nan,nan,nan,nan,nan
1702694043,20.327533333333335,INVALID,False,nan,nan,nan,nan,nan,nan,nan
