t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,frequency_waveform_inserted_ratio,frequency_timing_recovered_ratio,frequency_timing_shift_delta_p95_ms,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
786988043,72.1393154459893,VALID,,32.97034400945332,28.373061085212676,36.493987520592945,47.90810803314251,10.16949152542373,1.0,7.0,5.504049999999999,0.0,INVALID,VLF/LF/HF 频带一致性 81% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8549111450898139,0.8606406374625819,0.8750957964676185,0.80781362520827,0.9999629683484736,0.09067357512953368,0.10880829015544041,38.03910000000019,0.9763062383364437,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
807604900,74.05322946133681,VALID,,28.480367316356304,23.32673286142397,32.606545923856935,37.379194574043964,5.084745762711865,1.0,7.0,5.243499999999999,0.0,LIMITED,受限输出：波形补搏 9.6%；频带一致性 86%,4534.305125351945,1911.2720051238744,2231.6208202126636,203.74793476559472,91.63379531953412,8.36620468046588,10.952851241314763,0.09130042743828606,0.045471275503318025,995.0026715894767,180.45931213116705,0.07390985890558151,0.0703125,10.828986880628012,0.9052326373125724,0.9291158963458506,0.923967097992924,0.8615188957250857,0.9999780246833712,0.09635416666666667,0.11458333333333333,41.49549999999999,0.985303838976273,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
828282576,71.87393312130523,VALID,,25.805130510114992,21.538236558371622,29.80024250507919,45.01083208252856,3.389830508474576,1.0,7.0,5.0752,0.0,LIMITED,受限输出：波形补搏 9.1%,5445.416113660654,2810.783848916032,2238.6915591947027,185.41992512984694,92.35101494593546,7.648985054064543,12.073629938244116,0.08282513255043754,0.03653737816442764,1021.3826750025506,128.83274802674092,0.052965759453052465,0.0703125,15.085051583334062,0.956091036803483,0.9195495996536608,0.9635917290045215,0.9385894216677266,0.9999845088506784,0.09138381201044386,0.10966057441253264,40.6313999999998,0.946314236203679,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
848472495,78.52909764831529,VALID,,28.388791955241178,24.734905314819088,32.86111079983837,44.98594076853596,5.084745762711865,1.0,7.0,4.546049999999999,0.0,LIMITED,受限输出：波形补搏 8.6%,6634.596552330125,3864.4747603978103,2331.5700534024586,188.5325495202663,92.51885422039511,7.481145779604885,12.366936422041153,0.08086076986841587,0.03187188072721623,1153.14948223301,138.67937129286915,0.05484220166056153,0.0703125,13.774007990503524,0.9782658321000279,0.9357268076776538,0.983664846061822,0.9656681328558419,0.9999875466066626,0.0859375,0.09895833333333333,19.10965000000021,0.9427151959477472,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
869023836,75.99948827011231,VALID,,28.22485628253033,24.584188202865683,31.515777727931226,33.90031810734788,5.084745762711865,1.0,7.0,4.5196000000000005,0.0,LIMITED,受限输出：波形补搏 9.4%,7830.403689713542,4804.49620960997,2525.3054445910357,214.20517099076466,92.18089647937819,7.819103520621806,11.789189929032633,0.08482347014677839,0.03130451962099572,1373.384412001852,223.46447855679438,0.0813732413487757,0.0703125,11.361825115466067,0.9813120146349599,0.9363037691840839,0.9913934459628276,0.9577886748699351,0.999987173609999,0.09399477806788512,0.10182767624020887,8.08725,0.9943014396161024,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
889076043,81.31028819076478,VALID,,30.879192424618395,25.65905924925457,37.25916044414285,30.84505413081733,8.47457627118644,1.0,7.0,4.886599999999997,0.0,LIMITED,受限输出：波形补搏 9.9%,8436.655817833202,5252.30707568235,2654.7677746190893,248.57449906614718,91.43833294065499,8.561667059345005,10.67996831771806,0.09363323656503744,0.03145110037538472,1534.2246219446058,354.83075678017576,0.12204660617040074,0.07421875,10.266022412992195,0.9634909695692921,0.9541216872579021,0.9850016270959617,0.9132994353403966,0.9999859650767473,0.09947643979057591,0.10209424083769633,7.892499999999997,0.9595107171420955,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
909677398,73.54247997499556,VALID,,31.228263527055965,26.41275152152089,36.444293437720404,34.29566512656441,10.16949152542373,1.0,7.0,6.274799999999985,0.0,LIMITED,受限输出：波形补搏 10.7%,7687.736756393052,4653.760538701089,2530.841701838627,275.3359966325975,90.18821948508116,9.811780514918839,9.191830101371483,0.10879226323502142,0.03281099650104136,1491.0944503756994,484.2982643341129,0.17246239983950662,0.07421875,7.928393045003974,0.9638705388223958,0.9634046672555788,0.9828562645334574,0.919570512163252,0.999975535331643,0.10704960835509138,0.10966057441253264,7.903,0.9799,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
930305527,75.41354904960075,VALID,,29.307272388971235,22.463485772129545,33.35172007419089,48.541582826738775,11.864406779661017,1.0,7.0,5.113649999999997,0.0,LIMITED,受限输出：波形补搏 11.1%,6222.5542019500745,3669.9402013309414,2109.6355665636565,283.87846170114614,88.13967838296122,11.860321617038782,7.431474561055574,0.13456279662726303,0.033676708562443154,1221.5147837222692,547.9264795946866,0.2287516776426623,0.078125,7.908181914735789,0.978119050483578,0.9216546284444985,0.9731278806751891,0.9897651133698191,0.9999705219403651,0.11139896373056994,0.11658031088082901,7.870899999999993,0.9673086376966143,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
950310151,87.07640954937959,VALID,,25.523737388715933,20.399915079300314,30.81389277043494,52.45821726175103,5.084745762711865,1.0,7.0,4.7973,0.0,LIMITED,受限输出：波形补搏 11.0%,4556.332015868952,2601.767863681399,1561.8394561553102,278.3372358774772,84.87442879357381,15.125571206426189,5.6113205666913535,0.17821116938782164,0.03461288370909393,857.0538800118591,519.2521803249309,0.28160820071756487,0.078125,7.783152676339945,0.9766310095516411,0.9666594374953096,0.9828803402631097,0.9620492378915482,0.9999683721618452,0.11025641025641025,0.11538461538461539,7.24025,0.9535123167155425,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
970680359,77.60851934586366,VALID,,30.773247632164345,24.245374879329585,38.58685353121457,70.91169406818834,10.16949152542373,1.0,7.0,15.806699999999358,0.0,LIMITED,受限输出：波形补搏 12.3%；时间恢复 13.3%,3012.303325571563,1550.9982765145467,1095.7988730728018,270.96464678751084,80.17472350921363,19.82527649078637,4.044065844250604,0.24727589473393144,0.038104551917437404,541.2620230721079,422.11905710822293,0.3072517098492814,0.078125,7.420676379618974,0.9532453463924173,0.9396862761543756,0.9528304290094218,0.9542134869527404,0.9999444962721766,0.12307692307692308,0.13333333333333333,8.283000000000001,0.8485403092508664,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
