t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
706364932,706364932,950310151,869023836,1
726833293,726833293,950310151,869023836,1
746925046,746925046,950310151,869023836,1
766966843,766966843,950310151,869023836,1
786988043,786988043,950310151,869023836,1
807604900,807604900,950310151,869023836,1
828282576,828282576,950310151,869023836,1
848472495,848472495,950310151,869023836,1
869023836,869023836,950310151,869023836,1
889076043,889076043,950310151,869023836,1
909677398,909677398,950310151,869023836,1
930305527,930305527,950310151,869023836,1
950310151,950310151,950310151,869023836,0
483042043,483042043,970680359,869023836,1
503840304,503840304,970680359,869023836,1
523954424,523954424,970680359,869023836,1
544120304,544120304,970680359,869023836,1
564280953,564280953,970680359,869023836,1
584359045,584359045,970680359,869023836,1
604537710,604537710,970680359,869023836,1
625119245,625119245,970680359,869023836,1
645431581,645431581,970680359,869023836,1
665822658,665822658,970680359,869023836,1
686201757,686201757,970680359,869023836,1
706364932,706364932,970680359,869023836,1
726833293,726833293,970680359,869023836,1
746925046,746925046,970680359,869023836,1
766966843,766966843,970680359,869023836,1
786988043,786988043,970680359,869023836,1
807604900,807604900,970680359,869023836,1
828282576,828282576,970680359,869023836,1
848472495,848472495,970680359,869023836,1
869023836,869023836,970680359,869023836,1
889076043,889076043,970680359,869023836,1
909677398,909677398,970680359,869023836,1
930305527,930305527,970680359,869023836,1
950310151,950310151,970680359,869023836,1
970680359,970680359,970680359,869023836,0
483042043,483042043,991082278,869023836,1
503840304,503840304,991082278,869023836,1
523954424,523954424,991082278,869023836,1
544120304,544120304,991082278,869023836,1
564280953,564280953,991082278,869023836,1
584359045,584359045,991082278,869023836,1
604537710,604537710,991082278,869023836,1
625119245,625119245,991082278,869023836,1
645431581,645431581,991082278,869023836,1
665822658,665822658,991082278,869023836,1
686201757,686201757,991082278,869023836,1
706364932,706364932,991082278,869023836,1
726833293,726833293,991082278,869023836,1
746925046,746925046,991082278,869023836,1
766966843,766966843,991082278,869023836,1
786988043,786988043,991082278,869023836,1
807604900,807604900,991082278,869023836,1
828282576,828282576,991082278,869023836,1
848472495,848472495,991082278,869023836,1
869023836,869023836,991082278,869023836,1
889076043,889076043,991082278,869023836,1
909677398,909677398,991082278,869023836,1
930305527,930305527,991082278,869023836,1
950310151,950310151,991082278,869023836,1
970680359,970680359,991082278,869023836,1
991082278,991082278,991082278,869023836,0
483042043,483042043,1011253337,869023836,1
503840304,503840304,1011253337,869023836,1
523954424,523954424,1011253337,869023836,1
544120304,544120304,1011253337,869023836,1
564280953,564280953,1011253337,869023836,1
584359045,584359045,1011253337,869023836,1
604537710,604537710,1011253337,869023836,1
625119245,625119245,1011253337,869023836,1
645431581,645431581,1011253337,869023836,1
665822658,665822658,1011253337,869023836,1
686201757,686201757,1011253337,869023836,1
706364932,706364932,1011253337,869023836,1
726833293,726833293,1011253337,869023836,1
746925046,746925046,1011253337,869023836,1
766966843,766966843,1011253337,869023836,1
786988043,786988043,1011253337,869023836,1
