t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count
581550046,576558043,581550046,625,53.000000,63.000000,121.000000,419.800000,441.000000,64.000000,125.000000,400.000000,-108.000000,-54.000000,212.800000,109.178909,344.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.509000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,759.981120,0.893477,1,26,0,0,0
586558046,581566045,586558046,625,47.000000,57.000000,120.000000,408.800000,461.000000,59.000000,124.000000,393.600000,-112.000000,-51.000000,207.800000,107.023496,376.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.513000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,768.960000,0.881416,1,26,0,0,0
591566043,586566043,591566043,626,44.000000,60.000000,127.000000,423.000000,459.000000,63.000000,133.000000,405.500000,-113.000000,-47.000000,213.500000,111.421521,375.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.524000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,745.120640,0.883657,1,26,0,0,0
596566043,591566043,596566043,626,17.000000,32.000000,108.000000,480.000000,520.000000,36.000000,110.000000,460.000000,-139.000000,-57.000000,272.000000,139.768785,459.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.525000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,772.390080,0.768596,1,26,0,0,0
601566043,596566043,601566043,626,28.000000,44.000000,112.000000,459.750000,484.000000,46.000000,115.000000,442.000000,-128.750000,-57.000000,255.500000,126.508650,413.000000,0.000000,0.000000,1.000000,0,0.000000,14,0.506500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,804.081280,0.865707,1,25,0,0,0
606566043,601566043,606566043,626,28.000000,42.250000,106.000000,462.750000,495.000000,45.000000,108.000000,441.750000,-128.750000,-64.000000,254.500000,128.317120,428.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.506500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,830.681600,0.918901,1,24,0,0,0
611566047,606574047,611566047,625,36.000000,44.000000,109.000000,469.800000,503.000000,46.000000,111.000000,450.000000,-128.800000,-58.000000,262.800000,130.607411,426.000000,0.000000,0.000000,1.000000,0,0.000000,18,0.504000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,831.911680,0.943208,1,23,0,0,0
616574043,611574043,616574043,626,49.000000,64.000000,126.000000,432.000000,470.000000,65.000000,130.000000,414.750000,-109.000000,-47.000000,227.000000,113.008341,382.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.492500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,815.279040,0.955770,1,25,0,0,0
621574043,616574043,621574043,626,4.000000,20.000000,114.000000,477.750000,513.000000,23.000000,116.000000,459.000000,-147.750000,-54.500000,273.000000,137.121020,466.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.524000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,821.519680,0.859266,1,23,0,0,0
626574046,621582043,626574046,625,75.000000,82.000000,132.000000,422.800000,448.000000,83.200000,133.000000,408.800000,-96.000000,-45.000000,217.000000,99.219303,334.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.501000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,825.945600,0.817159,1,23,0,0,0
631582043,626582043,631582043,626,60.000000,74.000000,134.000000,418.250000,443.000000,76.000000,137.000000,399.000000,-100.000000,-44.500000,208.000000,105.063200,339.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.514000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,849.972800,0.722804,1,24,1,0,1
636582045,631590043,636582045,625,26.000000,46.000000,109.000000,430.800000,484.000000,48.200000,113.000000,413.600000,-124.000000,-60.000000,227.000000,116.710093,417.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.524000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,850.922240,0.708311,1,24,0,0,0
