t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
466314257,78.12174492729469,VALID,,31.95241144980497,26.937610047361446,37.63935893297177,30.483368591616856,15.254237288135593,1.0,7.0,338.0944,0.0,LIMITED,受限输出：频带一致性 85%,2135.8764070036304,845.0834949269972,781.5739011442715,422.58284514382626,64.90632582124634,35.093674178753645,1.8495163969049961,0.5406818786107614,0.05305599773787898,355.7437222765803,307.2126324098545,0.25159774641935867,0.05078125,3.5354687356974983,0.9206915117781167,0.7040183685743642,0.9503292460297434,0.8515367985243213,0.9998923523738709,0.9994414149772446,LIMITED,0.0,0.0,0.0,0,5.17170045510964e-05,2,1,9
486894240,77.84271878669149,VALID,,35.24706053449046,29.75323811230436,41.41156236551436,30.17196609240229,20.33898305084746,1.0,7.0,333.16355,0.0,VALID,,2523.390014666452,1197.4298799150727,846.1715122902846,396.81234070830686,68.07582497946122,31.924175020538787,2.1324223706850325,0.46895024820001013,0.042953897594722214,350.24383229399893,344.97468661471794,0.27347478050258484,0.05078125,5.007081985794194,0.9638563906835168,0.8439506106722595,0.9781218499028679,0.9305703191716979,0.9999212435601227,0.9994527404599028,VALID,0.0,0.0,0.0,0,4.9451908019451084e-05,2,1,9
507456625,79.48788604616657,VALID,,33.75482236759358,28.82321369820018,36.977734118907506,27.271303589152,13.559322033898304,1.0,7.0,335.34,0.0,VALID,,3090.4001649268444,1756.0718548238535,883.9768583620837,376.9487098553959,70.10539564295827,29.894604357041736,2.345085247011968,0.42642373076806817,0.019208155052342055,349.44278644958814,349.2111444459075,0.2732575334092624,0.05078125,6.70355854812664,0.9693265458852429,0.9581582517312051,0.9937915856643667,0.9122414530672877,0.9999568748267846,0.9994628495992159,VALID,0.0,0.0,0.0,0,4.7430080156835466e-05,2,1,9
527618796,79.85253897802059,VALID,,30.39892518645232,27.26135174833986,33.86564365528967,40.36940014999055,1.694915254237288,1.0,7.0,337.82995,0.0,LIMITED,受限输出：频带一致性 86%,3368.840980232785,2094.973134544986,847.8309686681575,365.2757086799625,69.8892343517172,30.110765648282793,2.321071312768261,0.4308355346511671,0.017701773701600455,329.01643491025527,314.72498952128467,0.25658591606716397,0.08984375,6.872804032628116,0.9496745105752309,0.9295862218180355,0.9882579685727038,0.8596464419144612,0.9999631918566066,0.9994719290243124,LIMITED,0.0,0.0,0.0,0,4.56141951375268e-05,2,1,9
547706773,74.44168734491315,VALID,,38.00329700951247,30.764848743029372,46.562979868436805,49.943441890047744,11.864406779661017,1.0,7.0,338.0202,0.0,INVALID,VLF/LF/HF 频带一致性 80% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9085203547693933,0.8752634966461842,0.9564509964538705,0.7966821908389466,0.9999644115146248,0.9994805605945345,LIMITED,0.0,0.0,0.0,0,4.3887881093100825e-05,2,1,9
567806625,72.55025011698727,VALID,,43.804490299201994,37.199722153931575,50.61188548957595,65.27478624106453,28.8135593220339,1.0,7.0,356.15389999999996,0.0,LIMITED,受限输出：频带一致性 85%,2619.1258768345924,1643.521978332536,596.3657514994593,350.7020945240578,62.96969683887363,37.03030316112636,1.7004909888228488,0.5880654508450186,0.018895917893343564,233.5434606573605,183.15521040428987,0.19219490416874316,0.08984375,5.315890392352391,0.9334265567544423,0.8776983832732155,0.9689127687616576,0.8506253954042735,0.999946437374955,0.9994883329099993,LIMITED,0.0,0.0,0.0,0,4.233341800016933e-05,2,1,9
588141954,81.6947855579958,VALID,,46.24946897908622,41.449730779069306,52.467744513126156,55.054982629055424,38.983050847457626,1.0,7.0,359.2025,0.0,LIMITED,受限输出：频带一致性 88%,1982.8926406954995,1165.9220787018276,460.15534563318676,338.0746728283971,57.646960774544276,42.35303922545573,1.3611056450441539,0.7346968280096732,0.024232618902353224,185.7021830582935,126.42342080766394,0.15743778846989961,0.08984375,3.426335969552407,0.9389377371866323,0.8618507015287182,0.9645041917658236,0.8792826765018529,0.9998770829171287,0.9994957877826638,LIMITED,0.0,0.0,0.0,0,4.084244346725117e-05,2,1,9
608456080,78.33123144528956,VALID,,36.21457968829681,30.84437045287657,41.70818682975739,49.823268094845474,25.423728813559322,1.0,7.0,349.8443,0.0,LIMITED,受限输出：频带一致性 89%,1383.2396280608793,677.8810351972024,365.1112091533437,321.0491881389642,53.2107668402501,46.78923315974991,1.1372438325410357,0.8793189036388259,0.0432911187444454,150.147813020686,85.21811842091077,0.12308539152017846,0.0703125,4.678350186706457,0.9217382736147424,0.8246887865273593,0.9350283192435488,0.8907281671475278,0.9995218571801079,0.9995027302138405,LIMITED,0.0,0.0,0.0,0,3.945395723191036e-05,2,1,9
629233291,73.45892360639239,VALID,,39.362372081486086,33.076844012622686,44.402179454941994,45.934402666922196,20.33898305084746,1.0,7.0,331.71545,0.0,INVALID,VLF/LF/HF 频带一致性 75% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8212753583212751,0.6679510839725838,0.8501477688394792,0.7539064004454656,0.9990372013197562,0.9994343882634,LIMITED,0.0,0.0,0.0,0,3.8122347319998986e-05,2,1,9
649789440,77.59045430504169,VALID,,47.27909019386183,40.70798728494419,54.360838984132876,47.988960039198446,30.508474576271187,1.0,7.0,340.9613,0.0,INVALID,VLF/LF/HF 频带一致性 77% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8365453739586788,0.6993713298754256,0.8664781882299396,0.7667021406590704,0.9993782459890387,0.99951545502639,LIMITED,0.0,0.0,0.0,0,3.6908994722013756e-05,2,1,9
