t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
8723534046,8718542043,8723534046,625,61.000000,73.200000,120.000000,400.000000,432.000000,75.000000,122.000000,382.800000,-97.000000,-44.000000,200.000000,101.018596,337.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.514000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999323,1.000000,0.000000,0.000000,0.998157,VALID,1.000000,VALID,0.000075,0,0,0,4,840.001500,1.000000,1,23,1,0,1,23,23,23,0,1.000000,0.000000,837.500196,840.001500,0.042363,dual_strong_update
8728542043,8723542046,8728542043,626,53.000000,60.000000,117.000000,411.500000,457.000000,63.000000,118.000000,396.750000,-109.000000,-46.000000,214.000000,102.687666,369.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.505000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999339,1.000000,0.000000,0.000000,0.998199,VALID,1.000000,VALID,0.000072,0,0,0,4,840.003000,0.956522,1,23,0,0,0,22,23,22,1,0.956522,0.000000,842.971411,840.003000,0.042365,dual_strong_update
8733542043,8728542043,8733542043,626,60.000000,75.250000,126.000000,416.000000,470.000000,77.000000,128.000000,400.500000,-99.000000,-42.000000,215.750000,104.191840,372.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.508000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999356,1.000000,0.000000,0.000000,0.998241,VALID,1.000000,VALID,0.000069,0,0,0,4,836.000000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,840.594334,836.000000,0.063837,dual_strong_update
8738542044,8733550043,8738542044,625,37.000000,51.200000,114.000000,432.600000,468.000000,53.000000,114.000000,415.800000,-120.000000,-50.000000,232.000000,116.810823,395.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.523000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999370,1.000000,0.000000,0.000000,0.998276,VALID,1.000000,VALID,0.000066,0,0,0,4,848.000000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,843.757640,848.000000,0.055947,dual_strong_update
8743550043,8738550046,8743550043,626,27.000000,39.000000,111.000000,462.750000,494.000000,42.000000,111.500000,445.750000,-128.000000,-48.000000,262.000000,129.788144,426.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.521000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999383,1.000000,0.000000,0.000000,0.998308,VALID,1.000000,VALID,0.000063,0,0,0,4,863.998000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,863.738059,863.998000,0.054908,dual_strong_update
8748550043,8743550043,8748550043,626,24.000000,42.000000,110.000000,443.750000,477.000000,43.250000,112.000000,423.750000,-126.000000,-51.000000,242.500000,122.037842,414.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.506000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999396,1.000000,0.000000,0.000000,0.998340,VALID,1.000000,VALID,0.000061,0,0,0,4,855.997000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,858.441726,855.997000,0.041566,dual_strong_update
8753550043,8748550043,8753550043,626,39.000000,50.000000,107.000000,448.000000,478.000000,51.000000,109.000000,430.000000,-119.000000,-55.500000,246.250000,121.674493,398.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.506000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999407,1.000000,0.000000,0.000000,0.998368,VALID,1.000000,VALID,0.000059,0,0,0,4,848.002000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,848.022554,848.002000,0.041963,dual_strong_update
8758550043,8753550043,8758550043,626,36.000000,48.000000,108.000000,439.750000,473.000000,51.000000,109.000000,422.500000,-120.000000,-57.000000,238.000000,118.931287,396.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.505500,728.000000,0.000000,1.000000,125.000000,0.004000,0.999417,1.000000,0.000000,0.000000,0.998393,VALID,1.000000,VALID,0.000057,0,0,0,4,824.001000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,829.678196,824.001000,0.050380,dual_strong_update
8763550043,8758550043,8763550043,626,18.000000,29.000000,102.000000,470.000000,508.000000,31.250000,103.000000,452.750000,-139.000000,-57.000000,270.250000,134.413561,448.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.517000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999427,1.000000,0.000000,0.000000,0.998417,VALID,1.000000,VALID,0.000055,0,0,0,4,808.002000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,811.922122,808.002000,0.044038,dual_strong_update
8768550043,8763550043,8768550043,626,0.000000,28.000000,108.500000,478.750000,516.000000,32.000000,114.000000,459.750000,-139.000000,-50.500000,276.000000,140.054056,471.000000,0.001597,0.000000,1.000000,0,0.000000,20,0.516000,728.000000,0.000000,1.000000,125.000000,0.004000,0.995842,1.000000,0.001597,0.000000,0.998442,VALID,0.994808,VALID,0.000053,0,0,0,4,816.002000,1.000000,1,24,1,0,1,24,24,24,0,1.000000,0.000000,815.767733,816.002000,0.043613,dual_strong_update
