t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
8858582045,8850598047,1,1.000000,856.000000,856.004000,24,0,0,0,24,24,24,0,1.000000,0.000000,850.873543,856.000000,0.055421,dual_strong_update,3.996214,8851332045,8858582045,
8863590047,8855806043,1,1.000000,872.000000,872.003000,22,0,0,0,22,22,22,0,1.000000,0.000000,871.665158,872.000000,0.027204,dual_strong_update,4.431331,8856228042,8863478042,
8868598043,8861062043,1,0.956522,863.996000,840.000000,23,0,0,0,22,23,22,1,0.956522,0.000000,861.769864,863.996000,0.041184,dual_strong_update,4.545031,8861284043,8868534043,
8873598043,8866102043,1,0.916667,839.996000,824.000000,24,1,0,1,23,23,22,2,0.916667,0.000000,840.333718,839.996000,0.056487,dual_strong_update,4.746879,8866156047,8873406047,
8878598043,8870870043,1,1.000000,839.999000,887.998000,23,0,0,0,23,23,23,0,1.000000,0.000000,839.997795,839.999000,0.070601,dual_strong_update,4.372311,8871260046,8878510046,
8883598044,8875326043,1,1.000000,824.000000,836.001500,23,0,0,0,23,23,23,0,1.000000,0.000000,824.258362,824.000000,0.057577,dual_strong_update,4.260761,8876164046,8883414046,
8888598045,8880614045,1,0.956522,895.999000,864.000500,23,0,0,0,22,23,22,1,0.956522,0.000000,888.537331,895.999000,0.105902,dual_strong_update,4.213119,8881268043,8888518043,
8893606043,8885870043,1,1.000000,823.998000,844.000500,22,0,0,0,22,22,22,0,1.000000,0.000000,831.708657,823.998000,0.086363,dual_strong_update,4.448038,8886356043,8893606043,
8898606043,8890654046,1,1.000000,792.000000,776.000000,24,0,0,0,24,24,24,0,1.000000,0.000000,794.139865,792.000000,0.074873,dual_strong_update,4.427566,8891244043,8898494043,
8903606043,8896046045,1,1.000000,743.999000,672.000500,26,0,0,0,26,26,26,0,1.000000,0.000000,747.408428,743.999000,0.127534,dual_strong_update,4.048988,8896324047,8903574047,
8908606043,8900694043,1,1.000000,663.999000,656.000000,28,0,0,0,28,28,28,0,1.000000,0.000000,665.273950,663.999000,0.107174,dual_strong_update,4.145611,8901212043,8908462043,
8913606043,8905838043,1,1.000000,640.000000,624.000000,30,0,0,0,30,30,30,0,1.000000,0.000000,641.136817,640.000000,0.055600,dual_strong_update,4.261989,8906292046,8913542046,
8918606043,8910982046,1,1.000000,640.000000,652.000500,30,1,0,1,30,30,30,0,1.000000,0.000000,640.024892,640.000000,0.092672,dual_strong_update,4.777216,8911172043,8918422043,
8923606046,8915686047,1,1.000000,648.000500,751.998000,29,0,0,0,29,29,29,0,1.000000,0.000000,639.923057,648.000500,0.183040,dual_consensus_update,4.885795,8916236043,8923486043,
8928614043,8920902045,1,1.000000,700.000500,712.000000,27,0,0,0,27,27,27,0,1.000000,0.000000,696.791281,700.000500,0.110133,dual_strong_update,5.749291,8921324045,8928574045,
8933614043,8926006043,1,0.962963,720.003000,708.002500,27,1,0,1,26,27,26,1,0.962963,0.000000,720.836288,720.003000,0.049432,dual_strong_update,5.497699,8926196043,8933446043,
8938614043,8930926043,1,1.000000,724.000500,724.000000,27,0,0,0,27,27,27,0,1.000000,0.000000,726.056830,724.000500,0.057337,dual_strong_update,5.461255,8931284045,8938534045,
8943614047,8936086043,1,0.964286,699.999000,723.998000,28,1,0,1,27,28,27,1,0.964286,0.000000,699.535442,699.999000,0.076250,dual_strong_update,5.573905,8936172043,8943422043,
8948622043,8940742043,1,1.000000,715.998000,719.996000,27,0,0,0,27,27,27,0,1.000000,0.000000,715.677707,715.998000,0.091109,dual_strong_update,5.522896,8941260047,8948510047,
8953622047,8945582045,1,1.000000,736.000000,756.000000,27,0,0,0,27,27,27,0,1.000000,0.000000,734.550809,736.000000,0.128921,dual_strong_update,5.610495,8946356043,8953606043,
