t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
14295678045,14290686046,14295678045,625,38.000000,52.000000,108.000000,391.800000,436.000000,54.000000,112.000000,375.000000,-105.000000,-41.000000,206.800000,105.987796,363.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.521000,854.400000,70.100000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,887.996000,1.000000,1,22,0,0,0,22,22,22,0,1.000000,0.000000,886.161099,887.996000,0.053426,dual_strong_update
14300678046,14295686046,14300678046,625,36.000000,51.000000,112.000000,408.000000,429.000000,52.000000,113.000000,392.800000,-107.000000,-38.000000,223.800000,110.009656,359.000000,0.000000,0.000000,1.000000,0,0.000000,15,0.520000,873.600000,67.600000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,887.998000,0.913043,1,23,1,0,1,22,22,21,2,0.913043,0.000000,888.925420,887.998000,0.086820,dual_strong_update
14305686043,14300686043,14305686043,626,31.000000,47.000000,103.500000,399.500000,443.000000,48.250000,105.000000,384.500000,-111.000000,-48.000000,214.750000,103.045784,378.000000,0.000000,0.000000,1.000000,0,0.000000,24,0.502500,888.000000,67.600000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,879.998000,1.000000,1,22,0,0,0,22,22,22,0,1.000000,0.000000,882.502404,879.998000,0.053909,dual_strong_update
14310686043,14305686043,14310686043,626,30.000000,38.000000,105.500000,419.750000,466.000000,40.000000,108.500000,403.750000,-117.000000,-40.000000,236.750000,117.448746,398.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.519000,864.000000,68.200000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,880.001000,1.000000,1,22,0,0,0,22,22,22,0,1.000000,0.000000,876.150563,880.001000,0.094345,dual_strong_update
14315686043,14310686043,14315686043,626,31.000000,44.250000,108.000000,418.000000,451.000000,45.000000,108.000000,401.000000,-115.000000,-44.500000,231.750000,111.319123,388.000000,0.000000,0.000000,1.000000,0,0.000000,25,0.514000,884.800000,70.800000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,891.998500,1.000000,1,21,1,0,1,21,21,21,0,1.000000,0.000000,891.969551,891.998500,0.086431,dual_strong_update
14320686043,14315686043,14320686043,626,0.000000,4.000000,97.000000,455.250000,507.000000,9.000000,101.000000,440.750000,-148.000000,-56.500000,274.250000,136.673536,476.000000,0.036741,0.000000,1.000000,0,0.000000,20,0.540500,884.800000,70.800000,0.000000,125.000000,0.004000,0.917032,1.000000,0.036741,0.000000,0.999100,VALID,0.880591,VALID,0.000000,0,0,0,4,888.001000,0.956522,1,23,0,0,0,23,22,22,1,0.956522,0.000000,887.272709,888.001000,0.093494,dual_strong_update
14325686043,14320686043,14325686043,626,10.000000,21.250000,92.000000,417.000000,464.000000,25.000000,95.000000,403.000000,-132.000000,-55.500000,238.000000,118.934150,410.000000,0.000000,0.000000,1.000000,0,0.000000,31,0.507500,876.800000,67.700000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,871.999000,0.956522,1,23,0,0,0,23,22,22,1,0.956522,0.000000,870.064426,871.999000,0.068013,dual_strong_update
14330686043,14325686043,14330686043,626,1.000000,15.000000,107.500000,436.750000,471.000000,16.000000,110.000000,421.750000,-136.000000,-41.000000,255.000000,128.243320,435.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.524000,867.200000,69.400000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,871.998000,0.956522,1,23,0,0,0,23,22,22,1,0.956522,0.000000,874.026442,871.998000,0.040804,dual_strong_update
14335686043,14330686043,14335686043,626,0.000000,20.000000,102.500000,398.000000,428.000000,24.000000,104.000000,381.000000,-133.000000,-46.500000,214.000000,113.565893,392.000000,0.027157,0.000000,1.000000,0,0.000000,25,0.521000,857.600000,69.400000,0.000000,125.000000,0.004000,0.938598,1.000000,0.027157,0.000000,0.999100,VALID,0.911741,VALID,0.000000,0,0,0,4,851.999500,0.958333,1,24,0,0,0,24,23,23,1,0.958333,0.000000,853.956443,851.999500,0.048728,dual_strong_update
14340686043,14335686043,14340686043,626,15.000000,32.250000,94.000000,415.500000,453.000000,36.000000,95.000000,394.750000,-119.000000,-56.000000,228.000000,117.741853,392.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.517000,835.200000,70.100000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,836.000500,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,835.151341,836.000500,0.070937,dual_strong_update
