t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
14726390043,14726390043,14726390043,14604590043,0
14217190043,14217190043,14746894045,14604590043,1
14237926043,14237926043,14746894045,14604590043,1
14257934044,14257934044,14746894045,14604590043,1
14278350047,14278350047,14746894045,14604590043,1
14298822047,14298822047,14746894045,14604590043,1
14319302045,14319302045,14746894045,14604590043,1
14339902047,14339902047,14746894045,14604590043,1
14360278043,14360278043,14746894045,14604590043,1
14380870043,14380870043,14746894045,14604590043,1
14401350045,14401350045,14746894045,14604590043,1
14421478044,14421478044,14746894045,14604590043,1
14441846043,14441846043,14746894045,14604590043,1
14462022043,14462022043,14746894045,14604590043,1
14482382043,14482382043,14746894045,14604590043,1
14502942043,14502942043,14746894045,14604590043,1
14522990046,14522990046,14746894045,14604590043,1
14543038046,14543038046,14746894045,14604590043,1
14563590046,14563590046,14746894045,14604590043,1
14584222047,14584222047,14746894045,14604590043,1
14604590043,14604590043,14746894045,14604590043,1
14624686043,14624686043,14746894045,14604590043,1
14644926044,14644926044,14746894045,14604590043,1
14665534047,14665534047,14746894045,14604590043,1
14685662047,14685662047,14746894045,14604590043,1
14705742043,14705742043,14746894045,14604590043,1
14726390043,14726390043,14746894045,14604590043,1
14746894045,14746894045,14746894045,14604590043,0
14217190043,14217190043,14767126044,14604590043,1
14237926043,14237926043,14767126044,14604590043,1
14257934044,14257934044,14767126044,14604590043,1
14278350047,14278350047,14767126044,14604590043,1
14298822047,14298822047,14767126044,14604590043,1
14319302045,14319302045,14767126044,14604590043,1
14339902047,14339902047,14767126044,14604590043,1
14360278043,14360278043,14767126044,14604590043,1
14380870043,14380870043,14767126044,14604590043,1
14401350045,14401350045,14767126044,14604590043,1
14421478044,14421478044,14767126044,14604590043,1
14441846043,14441846043,14767126044,14604590043,1
14462022043,14462022043,14767126044,14604590043,1
14482382043,14482382043,14767126044,14604590043,1
14502942043,14502942043,14767126044,14604590043,1
14522990046,14522990046,14767126044,14604590043,1
14543038046,14543038046,14767126044,14604590043,1
14563590046,14563590046,14767126044,14604590043,1
14584222047,14584222047,14767126044,14604590043,1
14604590043,14604590043,14767126044,14604590043,1
14624686043,14624686043,14767126044,14604590043,1
14644926044,14644926044,14767126044,14604590043,1
14665534047,14665534047,14767126044,14604590043,1
14685662047,14685662047,14767126044,14604590043,1
14705742043,14705742043,14767126044,14604590043,1
14726390043,14726390043,14767126044,14604590043,1
14746894045,14746894045,14767126044,14604590043,1
14767126044,14767126044,14767126044,14604590043,0
14217190043,14217190043,14787246045,14726390043,1
14237926043,14237926043,14787246045,14726390043,1
14257934044,14257934044,14787246045,14726390043,1
14278350047,14278350047,14787246045,14726390043,1
14298822047,14298822047,14787246045,14726390043,1
14319302045,14319302045,14787246045,14726390043,1
14339902047,14339902047,14787246045,14726390043,1
14360278043,14360278043,14787246045,14726390043,1
14380870043,14380870043,14787246045,14726390043,1
14401350045,14401350045,14787246045,14726390043,1
14421478044,14421478044,14787246045,14726390043,1
14441846043,14441846043,14787246045,14726390043,1
14462022043,14462022043,14787246045,14726390043,1
14482382043,14482382043,14787246045,14726390043,1
14502942043,14502942043,14787246045,14726390043,1
14522990046,14522990046,14787246045,14726390043,1
14543038046,14543038046,14787246045,14726390043,1
14563590046,14563590046,14787246045,14726390043,1
14584222047,14584222047,14787246045,14726390043,1
14604590043,14604590043,14787246045,14726390043,1
14624686043,14624686043,14787246045,14726390043,1
14644926044,14644926044,14787246045,14726390043,1
14665534047,14665534047,14787246045,14726390043,1
14685662047,14685662047,14787246045,14726390043,1
14705742043,14705742043,14787246045,14726390043,1
14726390043,14726390043,14787246045,14726390043,1
14746894045,14746894045,14787246045,14726390043,1
14767126044,14767126044,14787246045,14726390043,1
14787246045,14787246045,14787246045,14726390043,0
14217190043,14217190043,14807430047,14726390043,1
14237926043,14237926043,14807430047,14726390043,1
14257934044,14257934044,14807430047,14726390043,1
14278350047,14278350047,14807430047,14726390043,1
14298822047,14298822047,14807430047,14726390043,1
14319302045,14319302045,14807430047,14726390043,1
14339902047,14339902047,14807430047,14726390043,1
14360278043,14360278043,14807430047,14726390043,1
14380870043,14380870043,14807430047,14726390043,1
14401350045,14401350045,14807430047,14726390043,1
14421478044,14421478044,14807430047,14726390043,1
14441846043,14441846043,14807430047,14726390043,1
14462022043,14462022043,14807430047,14726390043,1
14482382043,14482382043,14807430047,14726390043,1
14502942043,14502942043,14807430047,14726390043,1
14522990046,14522990046,14807430047,14726390043,1
14543038046,14543038046,14807430047,14726390043,1
14563590046,14563590046,14807430047,14726390043,1
14584222047,14584222047,14807430047,14726390043,1
14604590043,14604590043,14807430047,14726390043,1
14624686043,14624686043,14807430047,14726390043,1
14644926044,14644926044,14807430047,14726390043,1
14665534047,14665534047,14807430047,14726390043,1
14685662047,14685662047,14807430047,14726390043,1
14705742043,14705742043,14807430047,14726390043,1
14726390043,14726390043,14807430047,14726390043,1
14746894045,14746894045,14807430047,14726390043,1
14767126044,14767126044,14807430047,14726390043,1
14787246045,14787246045,14807430047,14726390043,1
14807430047,14807430047,14807430047,14726390043,0
14217190043,14217190043,14827542047,14726390043,1
14237926043,14237926043,14827542047,14726390043,1
14257934044,14257934044,14827542047,14726390043,1
14278350047,14278350047,14827542047,14726390043,1
14298822047,14298822047,14827542047,14726390043,1
14319302045,14319302045,14827542047,14726390043,1
14339902047,14339902047,14827542047,14726390043,1
14360278043,14360278043,14827542047,14726390043,1
14380870043,14380870043,14827542047,14726390043,1
14401350045,14401350045,14827542047,14726390043,1
14421478044,14421478044,14827542047,14726390043,1
14441846043,14441846043,14827542047,14726390043,1
14462022043,14462022043,14827542047,14726390043,1
14482382043,14482382043,14827542047,14726390043,1
14502942043,14502942043,14827542047,14726390043,1
14522990046,14522990046,14827542047,14726390043,1
14543038046,14543038046,14827542047,14726390043,1
14563590046,14563590046,14827542047,14726390043,1
14584222047,14584222047,14827542047,14726390043,1
14604590043,14604590043,14827542047,14726390043,1
14624686043,14624686043,14827542047,14726390043,1
14644926044,14644926044,14827542047,14726390043,1
14665534047,14665534047,14827542047,14726390043,1
14685662047,14685662047,14827542047,14726390043,1
14705742043,14705742043,14827542047,14726390043,1
14726390043,14726390043,14827542047,14726390043,1
14746894045,14746894045,14827542047,14726390043,1
14767126044,14767126044,14827542047,14726390043,1
14787246045,14787246045,14827542047,14726390043,1
14807430047,14807430047,14827542047,14726390043,1
14827542047,14827542047,14827542047,14726390043,0
14217190043,14217190043,14847590043,14726390043,1
14237926043,14237926043,14847590043,14726390043,1
14257934044,14257934044,14847590043,14726390043,1
14278350047,14278350047,14847590043,14726390043,1
14298822047,14298822047,14847590043,14726390043,1
14319302045,14319302045,14847590043,14726390043,1
14339902047,14339902047,14847590043,14726390043,1
14360278043,14360278043,14847590043,14726390043,1
14380870043,14380870043,14847590043,14726390043,1
14401350045,14401350045,14847590043,14726390043,1
14421478044,14421478044,14847590043,14726390043,1
14441846043,14441846043,14847590043,14726390043,1
14462022043,14462022043,14847590043,14726390043,1
14482382043,14482382043,14847590043,14726390043,1
14502942043,14502942043,14847590043,14726390043,1
14522990046,14522990046,14847590043,14726390043,1
14543038046,14543038046,14847590043,14726390043,1
14563590046,14563590046,14847590043,14726390043,1
14584222047,14584222047,14847590043,14726390043,1
14604590043,14604590043,14847590043,14726390043,1
14624686043,14624686043,14847590043,14726390043,1
14644926044,14644926044,14847590043,14726390043,1
14665534047,14665534047,14847590043,14726390043,1
14685662047,14685662047,14847590043,14726390043,1
14705742043,14705742043,14847590043,14726390043,1
14726390043,14726390043,14847590043,14726390043,1
14746894045,14746894045,14847590043,14726390043,1
14767126044,14767126044,14847590043,14726390043,1
14787246045,14787246045,14847590043,14726390043,1
14807430047,14807430047,14847590043,14726390043,1
14827542047,14827542047,14847590043,14726390043,1
14847590043,14847590043,14847590043,14726390043,0
14217190043,14217190043,14867990047,14726390043,1
14237926043,14237926043,14867990047,14726390043,1
14257934044,14257934044,14867990047,14726390043,1
14278350047,14278350047,14867990047,14726390043,1
14298822047,14298822047,14867990047,14726390043,1
14319302045,14319302045,14867990047,14726390043,1
14339902047,14339902047,14867990047,14726390043,1
14360278043,14360278043,14867990047,14726390043,1
14380870043,14380870043,14867990047,14726390043,1
14401350045,14401350045,14867990047,14726390043,1
14421478044,14421478044,14867990047,14726390043,1
14441846043,14441846043,14867990047,14726390043,1
14462022043,14462022043,14867990047,14726390043,1
14482382043,14482382043,14867990047,14726390043,1
14502942043,14502942043,14867990047,14726390043,1
14522990046,14522990046,14867990047,14726390043,1
14543038046,14543038046,14867990047,14726390043,1
14563590046,14563590046,14867990047,14726390043,1
14584222047,14584222047,14867990047,14726390043,1
14604590043,14604590043,14867990047,14726390043,1
14624686043,14624686043,14867990047,14726390043,1
14644926044,14644926044,14867990047,14726390043,1
14665534047,14665534047,14867990047,14726390043,1
14685662047,14685662047,14867990047,14726390043,1
14705742043,14705742043,14867990047,14726390043,1
14726390043,14726390043,14867990047,14726390043,1
14746894045,14746894045,14867990047,14726390043,1
14767126044,14767126044,14867990047,14726390043,1
14787246045,14787246045,14867990047,14726390043,1
14807430047,14807430047,14867990047,14726390043,1
14827542047,14827542047,14867990047,14726390043,1
14847590043,14847590043,14867990047,14726390043,1
14867990047,14867990047,14867990047,14726390043,0
14217190043,14217190043,14888222043,14726390043,1
14237926043,14237926043,14888222043,14726390043,1
14257934044,14257934044,14888222043,14726390043,1
14278350047,14278350047,14888222043,14726390043,1
14298822047,14298822047,14888222043,14726390043,1
14319302045,14319302045,14888222043,14726390043,1
14339902047,14339902047,14888222043,14726390043,1
14360278043,14360278043,14888222043,14726390043,1
14380870043,14380870043,14888222043,14726390043,1
14401350045,14401350045,14888222043,14726390043,1
14421478044,14421478044,14888222043,14726390043,1
14441846043,14441846043,14888222043,14726390043,1
14462022043,14462022043,14888222043,14726390043,1
14482382043,14482382043,14888222043,14726390043,1
14502942043,14502942043,14888222043,14726390043,1
