t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,rejected_candidate_count,long_gap_rescue_count,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
67756853921,67749013920,1,0.743590,655.999000,688.003000,39,0,0,0,39,29,29,10,0.743590,0.000000,679.140243,679.998000,0.052336,hold_previous_good_window,0,0,4.492678,67749595920,67756845920,
67761861916,67753949918,1,0.725000,696.000000,692.003000,40,0,0,0,40,29,29,11,0.725000,0.000000,683.384112,688.000000,0.068955,hold_previous_good_window,1,0,4.568390,67754451920,67761701920,
67766861917,67759181921,1,0.666667,647.996000,739.998000,42,0,0,0,42,28,28,14,0.666667,0.000000,685.402688,711.997000,0.049980,hold_previous_good_window,0,0,4.817368,67759539920,67766789920,
67771861919,67764357920,1,0.692308,727.997000,735.998000,39,1,0,1,39,27,27,12,0.692308,0.000000,685.402688,716.002000,0.057971,hold_previous_good_window,1,0,4.602941,67764427920,67771677920,
67776861921,67768805917,1,0.666667,752.000000,752.001000,39,0,0,0,39,26,26,13,0.666667,0.000000,685.402688,743.997000,0.047814,hold_previous_good_window,1,0,6.000000,67769507920,67776757920,
67781861921,67773997920,1,0.702703,728.000000,756.002000,37,0,0,0,37,26,26,11,0.702703,0.000000,685.402688,752.001000,0.047313,hold_previous_good_window,1,0,5.936487,67774603921,67781853921,
67786869921,67779405920,1,0.812500,728.003000,740.001500,32,1,0,1,32,26,26,6,0.812500,0.000000,730.991951,728.003000,0.081453,dual_consensus_update,0,0,5.420684,67779483917,67786733917,
67791877918,67784309918,1,0.900000,696.000000,672.003000,30,0,0,0,30,27,27,3,0.900000,0.000000,702.673323,696.000000,0.076689,dual_strong_update,0,0,4.952092,67784547920,67791797920,
67796877920,67788973920,1,0.933333,672.000000,672.000000,30,0,0,0,30,28,28,2,0.933333,0.000000,673.057795,672.000000,0.035304,dual_strong_update,0,0,4.835489,67789619920,67796869920,
67801877920,67794357920,1,0.966667,659.997000,659.998000,30,1,0,1,30,29,29,1,0.966667,0.000000,662.447039,659.997000,0.044916,dual_strong_update,0,0,5.099454,67794483917,67801733917,
67806885920,67799429920,1,0.909091,624.000000,631.998000,33,1,0,1,32,31,30,3,0.909091,0.000000,633.792244,624.000000,0.076024,dual_strong_update,0,0,4.192422,67799571920,67806821920,
67811885920,67804277921,1,0.939394,600.000000,616.000000,33,1,0,0,33,31,31,2,0.939394,0.000000,604.798968,600.000000,0.059300,dual_strong_update,0,0,4.334458,67804443921,67811693921,
67816885921,67809493920,1,0.888889,600.000000,616.002000,36,1,0,0,36,32,32,4,0.888889,0.000000,598.036862,600.000000,0.039543,dual_consensus_update,0,0,3.909785,67809547920,67816797920,
67821893916,67814285917,1,0.789474,608.002000,672.001000,38,0,0,0,38,30,30,8,0.789474,0.000000,609.992692,608.002000,0.078036,dual_consensus_update,0,0,4.153802,67814611920,67821861920,
67826893921,67819101920,1,0.783784,672.001000,688.003000,37,0,0,0,37,29,29,8,0.783784,0.000000,669.110159,672.001000,0.114724,dual_consensus_update,0,0,4.038789,67819483920,67826733920,
67831901917,67824077921,1,0.771429,707.998500,727.998000,35,0,0,0,35,27,27,8,0.771429,0.000000,704.340346,707.998500,0.041882,dual_consensus_update,1,0,4.649554,67824555917,67831805917,
67836901917,67829141920,1,0.818182,728.001000,731.999000,33,0,0,0,33,27,27,6,0.818182,0.000000,726.582188,728.001000,0.040736,dual_consensus_update,1,0,4.899715,67829627924,67836877924,
67841901920,67834429920,1,0.838710,735.997000,744.001000,31,1,0,1,31,26,26,5,0.838710,0.000000,735.179916,735.997000,0.048340,dual_consensus_update,1,0,5.627657,67834491917,67841741917,
67846901920,67838861918,1,0.838710,736.000000,735.997000,31,0,0,0,31,26,26,5,0.838710,0.000000,735.999048,736.000000,0.048340,dual_consensus_update,0,0,5.542395,67839547920,67846797920,
67851901920,67843941920,1,0.900000,723.997500,720.000000,30,0,0,0,30,27,27,3,0.900000,0.000000,728.647208,723.997500,0.057335,dual_strong_update,0,0,4.920184,67844635920,67851885920,
