t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
67651781920,67646789917,67651781920,625,51.000000,83.200000,157.000000,418.600000,548.000000,91.000000,157.000000,396.600000,-99.800000,-33.000000,192.000000,95.126626,431.000000,0.000000,0.000000,1.000000,0,0.000000,35,0.504000,678.400000,89.300000,0.000000,125.000000,0.004000,0.999304,1.000000,0.000000,0.000000,0.998110,VALID,1.000000,VALID,0.000079,0,0,0,3,631.999000,0.700000,1,40,0,0,0,40,28,28,12,0.700000,0.000000,664.038399,680.000000,0.069765,hold_previous_good_window
67656781921,67651789918,67656781921,625,27.000000,64.000000,150.000000,430.800000,482.000000,72.000000,152.000000,409.800000,-110.800000,-42.000000,208.400000,100.399705,382.000000,0.000000,0.000000,1.000000,0,0.000000,27,0.535000,710.400000,86.200000,0.000000,125.000000,0.004000,0.999324,1.000000,0.000000,0.000000,0.998159,VALID,1.000000,VALID,0.000075,0,0,0,3,704.001000,0.666667,1,42,0,0,0,42,28,28,14,0.666667,0.000000,664.038399,687.999000,0.086200,hold_previous_good_window
67661789918,67656789920,67661789918,626,6.000000,53.500000,141.000000,436.000000,561.000000,54.250000,145.000000,417.000000,-119.500000,-43.000000,216.750000,110.247941,484.000000,0.000000,0.000000,1.000000,0,0.000000,45,0.512500,704.800000,84.600000,0.000000,125.000000,0.004000,0.999340,1.000000,0.000000,0.000000,0.998200,VALID,1.000000,VALID,0.000072,0,0,0,3,744.000000,0.729730,1,37,1,0,1,37,27,27,10,0.729730,0.000000,664.038399,708.000000,0.058635,hold_previous_good_window
67666789918,67661789918,67666789918,626,53.000000,76.250000,142.000000,415.500000,484.000000,78.250000,150.000000,395.500000,-106.000000,-37.000000,194.250000,96.398859,368.000000,0.000000,0.000000,1.000000,0,0.000000,42,0.520500,680.000000,88.200000,0.000000,125.000000,0.004000,0.999356,1.000000,0.000000,0.000000,0.998241,VALID,1.000000,VALID,0.000069,0,0,0,3,688.000000,0.823529,1,34,0,0,0,34,28,28,6,0.823529,0.000000,689.718499,688.000000,0.051719,dual_consensus_update
67671789921,67666797918,67671789921,625,52.000000,84.000000,123.000000,436.000000,483.000000,87.000000,126.000000,414.800000,-94.000000,-60.000000,211.800000,104.602417,374.000000,0.000000,0.000000,1.000000,0,0.000000,49,0.493000,673.600000,89.300000,0.000000,125.000000,0.004000,0.999370,1.000000,0.000000,0.000000,0.998275,VALID,1.000000,VALID,0.000066,0,0,0,3,680.001000,0.823529,1,34,0,0,0,34,28,28,6,0.823529,0.000000,680.161863,680.001000,0.034880,dual_consensus_update
67676797920,67671797920,67676797920,626,42.000000,76.000000,134.500000,431.750000,493.000000,78.250000,135.000000,412.000000,-104.000000,-54.000000,211.750000,104.946313,390.000000,0.000000,0.000000,1.000000,0,0.000000,35,0.513000,688.000000,87.200000,0.000000,125.000000,0.004000,0.999384,1.000000,0.000000,0.000000,0.998310,VALID,1.000000,VALID,0.000063,0,0,0,3,687.997000,0.800000,1,35,0,0,0,35,28,28,7,0.800000,0.000000,685.730609,687.997000,0.034466,dual_consensus_update
67681797920,67676797920,67681797920,626,0.000000,63.250000,144.500000,456.250000,547.000000,64.500000,149.000000,434.750000,-122.750000,-36.000000,227.500000,114.130556,483.000000,0.027157,0.000000,1.000000,0,0.000000,33,0.548000,672.000000,87.200000,0.000000,125.000000,0.004000,0.938293,1.000000,0.027157,0.000000,0.998339,VALID,0.911741,VALID,0.000061,0,0,0,3,683.998500,0.828571,1,35,0,0,0,35,29,29,6,0.828571,0.000000,682.352989,683.998500,0.043348,dual_consensus_update
67686797920,67681797920,67686797920,626,0.000000,29.750000,151.500000,463.500000,526.000000,44.000000,154.000000,440.500000,-148.500000,-40.000000,229.250000,116.219355,481.000000,0.020767,0.000000,1.000000,0,0.000000,39,0.548000,668.800000,87.200000,0.000000,125.000000,0.004000,0.952682,1.000000,0.020767,0.000000,0.998368,VALID,0.932508,VALID,0.000059,0,0,0,3,688.000000,0.848485,1,33,1,0,0,33,28,28,5,0.848485,0.000000,687.996732,688.000000,0.051710,dual_consensus_update
67691797920,67686797920,67691797920,626,20.000000,73.000000,136.000000,453.000000,491.000000,77.500000,139.000000,430.500000,-116.000000,-49.000000,223.750000,112.011678,406.000000,0.000000,0.000000,1.000000,0,0.000000,41,0.514000,682.400000,88.200000,0.000000,125.000000,0.004000,0.999417,1.000000,0.000000,0.000000,0.998393,VALID,1.000000,VALID,0.000057,0,0,0,3,688.000000,0.903226,1,31,0,0,0,31,28,28,3,0.903226,0.000000,687.533051,688.000000,0.034479,dual_strong_update
67696805920,67691813920,67696805920,625,0.000000,44.400000,131.000000,482.600000,550.000000,48.200000,136.000000,459.800000,-142.000000,-48.000000,248.800000,124.197696,485.000000,0.006400,0.000000,1.000000,0,0.000000,36,0.536000,704.000000,86.200000,0.000000,125.000000,0.004000,0.985028,1.000000,0.006400,0.000000,0.998419,VALID,0.979200,VALID,0.000054,0,0,0,3,687.998000,0.875000,1,32,0,0,0,32,28,28,4,0.875000,0.000000,688.064561,687.998000,0.068948,dual_consensus_update
